"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/24/2023","AQS","250010002","1","0.045","ppm","42","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/25/2023","AQS","250010002","1","0.048","ppm","44","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/26/2023","AQS","250010002","1","0.048","ppm","44","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/27/2023","AQS","250010002","1","0.049","ppm","45","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/28/2023","AQS","250010002","1","0.053","ppm","49","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/29/2023","AQS","250010002","1","0.046","ppm","43","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/30/2023","AQS","250010002","1","0.049","ppm","45","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"05/01/2023","AQS","250010002","1","0.052","ppm","48","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"05/02/2023","AQS","250010002","1","0.046","ppm","43","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"05/03/2023","AQS","250010002","1","0.044","ppm","41","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
